"","country","year","low","high","total","country_code","gdp","cd_low","cd_high","cd_total","deposit_interest_rate","treasury_bill_rate","tax_gdp","eci","eci_2","uncertainty","monetary_freedom","business_freedom","property_rights","investment_freedom","financial_freedom","trade_freedom","government_integrity","judicial_effectiveness","overall_score","tax_burden","government_spending","fiscal_health","labor_freedom","crime","urban_pop_growth"
"1","Argentina",2012,2.344e+11,NA,2.3441e+11,"ARG",2.64e+12,0.0887878787878788,NA,0.0887916666666667,12.02349546,NA,12.95284151,-0.148047,0.137046,0.323742725,60.7,61,20,40,30,67.6,29,NA,48,65.5,56.9,NA,48.9,NA,1.280773703
"2","Argentina",2013,2.8628e+11,NA,2.8628e+11,"ARG",3.35e+12,0.0854567164179104,NA,0.0854567164179104,14.85445459,NA,12.45290276,-0.496513,-0.099565,0.3264396,60.4,60.1,15,40,30,67.6,30,NA,46.7,64.3,52.1,NA,47.4,NA,1.25948243
"3","Argentina",2014,3.5567e+11,NA,3.5567e+11,"ARG",4.58e+12,0.0776572052401747,NA,0.0776572052401747,20.41768368,NA,12.61096661,-0.502072,-0.130401,0.296355175,60,53.9,15,30,30,68.9,29.5,NA,44.6,63.5,49.9,NA,44.9,7.5,1.239638679
"4","Argentina",2015,4.7547e+11,NA,4.7547e+11,"ARG",5.95e+12,0.0799109243697479,NA,0.0799109243697479,21.16914854,NA,12.33650694,0.462111,-0.188967,0.36072255,59.6,52.8,15,30,30,68.8,34,NA,44.1,66.8,41.2,NA,43.3,6.5,1.215797063
"5","Argentina",2016,4.6025e+11,1.3084e+11,5.9108e+11,"ARG",8.23e+12,0.0559234507897934,0.0158979343863913,0.071820170109356,24.27996214,NA,12.09728364,0.360496,NA,0.15035685,44,56,15,30,30,67.4,34,NA,43.8,66.1,51.3,NA,43.9,6,1.192602919
"6","Argentina",2017,4.8356e+11,2.9937e+11,7.8291e+11,"ARG",1.06e+13,0.0456188679245283,0.0282424528301887,0.0738594339622641,18.99974256,NA,10.95550149,0.232335,NA,0.189007825,50.9,57.3,32.4,50,50,66.7,38.2,39.6,50.4,62.6,54.6,56.4,46.1,5.1,1.170195959
"7","Argentina",2018,3.6383e+11,4.9136e+11,8.5519e+11,"ARG",1.46e+13,0.0249198630136986,0.0336547945205479,0.0585746575342466,25.10991706,NA,NA,NA,NA,0.3995834,51.3,56.2,40.8,55,60,70.3,32.6,44.5,52.3,65.7,55.6,52.6,43.3,NA,1.147602159
"8","Australia",2012,5.39e+09,5.358e+10,5.897e+10,"AUS",1.5e+12,0.00359333333333333,0.03572,0.0393133333333333,3.916666667,3.4935,21.19859309,-0.528256,0.105864,0.132407025,84.5,91.9,90,80,90,86.2,87,NA,83.1,63.4,67.1,NA,90.6,1.1,1.865330137
"9","Australia",2013,5.51e+09,5.752e+10,6.303e+10,"AUS",1.54e+12,0.00357792207792208,0.0373506493506493,0.0409285714285714,3.25,2.8281,22.02482967,-0.816851,-0.077673,0.034845475,83.8,95.5,90,80,90,86.2,88,NA,82.6,66.4,62.8,NA,83.5,1.1,1.838175799
"10","Australia",2014,5.48e+09,6.136e+10,6.684e+10,"AUS",1.6e+12,0.003425,0.03835,0.041775,2.904166667,NA,21.98970304,-0.846322,-0.09589,0.1185409,80.5,94.6,90,85,90,86.4,87.7,NA,82,64.2,62.6,NA,79.2,1,1.608455102
"11","Australia",2015,5.56e+09,6.637e+10,7.193e+10,"AUS",1.62e+12,0.0034320987654321,0.0409691358024691,0.0444012345679012,2.304166667,NA,22.002263,0.0971997,-0.11783,0.1742644,85.3,94.1,90,80,90,86.4,81,NA,81.4,63.7,61.8,NA,81.6,1,1.554800599
"12","Australia",2016,5.86e+09,6.999e+10,7.585e+10,"AUS",1.66e+12,0.00353012048192771,0.0421626506024096,0.0456927710843374,2.141666667,NA,22.25264793,0.146237,NA,0.2490718,85.2,89.4,90,80,90,86.4,80,NA,80.3,63.2,62,NA,77.2,0.9,1.677390128
"13","Australia",2017,6.09e+09,7.21e+10,7.819e+10,"AUS",1.76e+12,0.00346022727272727,0.0409659090909091,0.0444261363636364,2.008333333,NA,22.08996028,0.0863035,NA,0.307399925,86.4,89.3,81.7,80,90,86.2,74.8,92.9,81,63.2,59,84.6,84.1,0.8,1.805663698
"14","Australia",2018,6.06e+09,7.508e+10,8.114e+10,"AUS",1.85e+12,0.00327567567567568,0.0405837837837838,0.0438594594594595,1.979166667,NA,NA,NA,NA,0.172188025,87.4,89.1,78.7,80,90,86.2,77.4,93.4,80.9,63,61.2,84.3,79.7,NA,1.700488764
"15","Brazil",2012,1.2106e+11,6.154e+10,1.8261e+11,"BRA",4.81e+12,0.0251683991683992,0.0127941787941788,0.037964656964657,7.907466502,8.0674,13.65145753,0.161553,0.532894,0.2037661,75.8,53.7,50,50,60,69.7,37,NA,57.9,69.1,54.8,NA,59.1,26.5,1.237964376
"16","Brazil",2013,1.299e+11,6.879e+10,1.9869e+11,"BRA",5.33e+12,0.0243714821763602,0.012906191369606,0.0372776735459662,7.807103787,8.9895,13.44169278,0.032264,0.374105,0.42892435,74.4,53,50,50,60,69.7,38,NA,57.7,70.3,54.8,NA,57.2,26.8,1.209813506
"17","Brazil",2014,1.3554e+11,7.963e+10,2.1516e+11,"BRA",5.78e+12,0.0234498269896194,0.0137768166089965,0.0372249134948097,10.0236351,11.5403,12.76168468,-0.151225,0.351105,0.253388075,69.9,53.8,50,55,60,69.3,37.9,NA,56.9,68.8,54.1,NA,49.8,28.6,1.187365819
"18","Brazil",2015,1.3493e+11,8.461e+10,2.1953e+11,"BRA",6e+12,0.0224883333333333,0.0141016666666667,0.0365883333333333,12.62245884,14.16,12.82486326,0.696066,0.361846,0.42977295,69.4,53.6,50,50,60,69.6,42,NA,56.6,68.4,50.9,NA,52.1,28.4,1.163497385
"19","Brazil",2016,1.3638e+11,8.956e+10,2.2594e+11,"BRA",6.27e+12,0.0217511961722488,0.0142838915470494,0.0360350877192982,12.44576438,13.4621,12.77294815,0.648284,NA,0.494839125,64.2,61.4,45,55,50,69.4,43,NA,56.5,69.7,55.2,NA,52.5,29.7,1.140373594
"20","Brazil",2017,1.3898e+11,1.0488e+11,2.4386e+11,"BRA",6.55e+12,0.021218320610687,0.016012213740458,0.037230534351145,8.513533199,9.0574,12.70473972,0.608252,NA,0.7045865,67,61.3,55,50,50,69.4,33.4,49.7,52.9,70.1,53.1,22.8,52.3,30.5,1.116980346
"21","Brazil",2018,1.3584e+11,1.2234e+11,2.5818e+11,"BRA",6.83e+12,0.0198887262079063,0.0179121522693997,0.037800878477306,6.872158913,7.3093,NA,NA,NA,1.090200375,71.4,58.6,55.8,50,50,68.5,31.4,55.5,51.4,70.6,50.7,7.7,46.8,NA,1.084638132
"22","Canada",2012,1.989e+10,4.378e+10,6.367e+10,"CAN",1.82e+12,0.0109285714285714,0.0240549450549451,0.0349835164835165,0.483333333,0.9725,11.69256444,0.534847,0.834961,0.2497415,77.3,96.6,90,75,80,87.9,89,NA,79.9,79.2,41.7,NA,81.8,1.6,1.136362333
"23","Canada",2013,1.995e+10,4.664e+10,6.659e+10,"CAN",1.9e+12,0.0105,0.0245473684210526,0.0350473684210526,0.55,0.9692,11.65239901,0.421886,0.740106,0.087607525,75.2,91.7,90,75,80,88.2,87,NA,79.4,79.8,44.8,NA,82.3,1.4,1.107109995
"24","Canada",2014,2.063e+10,4.937e+10,7e+10,"CAN",1.99e+12,0.0103668341708543,0.0248090452261307,0.0351758793969849,0.55,0.9108,11.83636656,0.411362,0.695561,0.0301988,76.3,89.3,90,80,80,88.3,87.7,NA,80.2,79.7,47.3,NA,83.1,1.5,1.05460142
"25","Canada",2015,2.164e+10,5.384e+10,7.548e+10,"CAN",1.99e+12,0.0108743718592965,0.0270552763819095,0.037929648241206,0.075,0.5033,12.41860444,1.12953,0.682508,0.19253435,77.9,89,90,80,80,88.4,81,NA,79.1,79.9,48.3,NA,76.1,1.7,0.796807975
"26","Canada",2016,2.245e+10,5.803e+10,8.048e+10,"CAN",2.02e+12,0.0111138613861386,0.0287277227722772,0.0398415841584158,0.1,0.5,12.45503562,1.08422,NA,0.131292525,76.9,81.8,90,80,80,87,81,NA,78,80,50.4,NA,72.6,1.7,1.182792155
"27","Canada",2017,2.316e+10,6.269e+10,8.585e+10,"CAN",2.14e+12,0.0108224299065421,0.0292943925233645,0.0401168224299065,0.1,0.5167,12.52123949,1.05671,NA,0.236811675,77.8,81.9,88.3,80,80,88.4,81.6,80.8,78.5,77.4,52.3,80.3,73.1,1.8,1.247407091
"28","Canada",2018,2.299e+10,6.719e+10,9.018e+10,"CAN",2.22e+12,0.0103558558558559,0.0302657657657658,0.0406216216216216,NA,NA,12.85025513,NA,NA,0.19752335,77.5,81.8,87.5,80,80,88.1,78.3,77.1,77.7,76.7,52.3,81.2,71.3,NA,1.484202357
"29","Euro Area",2012,8.955e+10,8.2305e+11,9.1259e+11,"EMU",9.83e+12,0.00910986775178027,0.0837283825025432,0.0928372329603255,NA,NA,18.49257414,1.11617033333333,NA,0.371609704166667,81.0210526315789,80.7947368421053,72.6315789473684,78.4210526315789,68.4210526315789,86.3157894736842,64.2631578947368,NA,NA,NA,NA,NA,NA,1.1,0.505410197
"30","Euro Area",2013,9.17e+10,8.6449e+11,9.5618e+11,"EMU",9.93e+12,0.00923464249748238,0.0870584088620342,0.0962920443101712,NA,NA,18.95858735,1.03991966666667,NA,0.250195645833333,79.7578947368421,79.9684210526316,72.6315789473684,80.5263157894737,67.3684210526316,86.0105263157895,63.8947368421053,NA,NA,NA,NA,NA,NA,NA,0.61220184
"31","Euro Area",2014,9.569e+10,9.2085e+11,1.01654e+12,"EMU",1.02e+13,0.00938137254901961,0.0902794117647059,0.0996607843137255,NA,NA,18.99756216,1.01845166666667,NA,0.203905258333333,79.0105263157895,80.478947368421,72.8947368421053,81.3157894736842,66.8421052631579,87.0105263157895,63.9842105263158,NA,NA,NA,NA,NA,NA,1,0.608147189
"32","Euro Area",2015,1.0088e+11,9.8255e+11,1.08343e+12,"EMU",1.05e+13,0.00960761904761905,0.0935761904761905,0.10318380952381,NA,NA,18.91659131,1.15864907142857,NA,0.2298329375,80.6473684210526,79.8631578947368,72.8947368421053,81.8421052631579,66.8421052631579,87.4736842105263,64.3157894736842,NA,NA,NA,NA,NA,NA,1,0.594090317
"33","Euro Area",2016,1.0475e+11,1.02148e+12,1.12622e+12,"EMU",1.08e+13,0.00969907407407407,0.0945814814814815,0.10427962962963,NA,NA,18.79257805,1.14949407142857,NA,0.3215066375,83.1,78.2473684210526,72.8947368421053,81.8421052631579,66.8421052631579,87.4736842105263,65.3157894736842,NA,NA,NA,NA,NA,NA,NA,0.601111868
"34","Euro Area",2017,1.1095e+11,1.05978e+12,1.17073e+12,"EMU",1.12e+13,0.00990625,0.0946232142857143,0.104529464285714,NA,NA,18.99061311,1.15211821428571,NA,0.352285308333333,84.8631578947368,76.8368421052632,77.5631578947368,80.2631578947368,65.7894736842105,86.4736842105263,65.0473684210526,66.6894736842105,NA,NA,NA,NA,NA,NA,0.442821235
